,Real Values,Predicted Values
139,0.052313883,0.07527104
140,0.07645875,0.0872425
141,0.04426559,0.066388085
142,0.06036217,0.058587525
143,0.011066398,0.014864951
144,0.028169014,0.035145905
145,0.025150904,0.041297764
146,0.02112676,0.034989662
147,0.011066398,0.027836327
148,0.013078471,0.022423103
149,0.015090543,0.03927583
150,0.03722334,0.047738224
151,0.023138832,0.03628172
152,0.054325953,0.06361963
153,0.14788732,0.17288968
154,0.04225352,0.091715604
155,0.049295772,0.061704066
156,0.17102616,0.1831943
157,0.09154929,0.10184932
158,0.05030181,0.05697385
159,0.05533199,0.067881696
160,0.015090543,0.03222115
161,0.03923541,0.060986806
162,0.022132795,0.052296303
163,0.033199195,0.042154845
164,0.08551308,0.08986819
165,0.0472837,0.047495823
166,0.08953722,0.11442168
167,0.06941649,0.08022128
168,0.052313883,0.08140281
169,0.07344064,0.07662058
170,0.022132795,0.022224458
171,0.06136821,0.08450672
172,0.1277666,0.13415933
173,0.108651906,0.13662119
174,0.15593562,0.14906998
175,0.051307846,0.090268016
176,0.10261569,0.11316545
177,0.15995975,0.17307734
178,0.17303823,0.16539043
179,0.10060362,0.09560835
180,0.15593562,0.18142827
181,0.14788732,0.17937414
182,0.16096579,0.15717447
183,0.24647887,0.26485014
184,0.26760563,0.27015617
185,0.2696177,0.3107668
186,0.040241446,0.07185075
187,0.014084507,0.039853953
188,0.016096579,0.02432401
189,0.12072434,0.09336439
190,0.06539235,0.06762385
191,0.17706236,0.17451312
192,0.05533199,0.08534545
193,0.03923541,0.041459683
194,0.07042253,0.08426909
195,0.18309858,0.19280912
196,0.22132796,0.19480824
197,0.16901408,0.18697178
198,0.18410462,0.18828596
199,0.28772634,0.25201297
200,0.19315895,0.17524463
201,0.08048289,0.097740754
202,0.1277666,0.12616003
203,0.119718306,0.13849182
204,0.064386316,0.061353613
205,0.101609655,0.11140168
206,0.1307847,0.1411306
207,0.045271628,0.12010676
208,0.032193158,0.09640542
209,0.06639839,0.07353754
210,0.13279678,0.1182704
211,0.058350097,0.05948389
212,0.064386316,0.08314252
213,0.08450704,0.107629895
214,0.10965794,0.10977261
215,0.07746479,0.10080251
216,0.14688128,0.12833478
217,0.12575452,0.14880417
218,0.16096579,0.16778766
219,0.22937626,0.21580628
220,0.12676056,0.14322789
221,0.13883299,0.15643531
222,0.13581489,0.14487149
223,0.12273642,0.13888215
224,0.19215292,0.21750987
225,0.09959758,0.102172375
226,0.053319916,0.04074077
227,0.03722334,0.057755377
228,0.04225352,0.04389869
229,0.03118712,0.049412534
230,0.022132795,0.02719587
231,0.028169014,0.04311175
232,0.10261569,0.09329362
233,0.027162977,0.046079263
234,0.10764587,0.09695442
235,0.14084506,0.14794543
236,0.2997988,0.16300853
237,0.0,0.02230444
238,0.0,0.010713789
239,0.0,0.019344239
240,0.0,0.01146978
241,0.16901408,0.16662773
242,0.0,0.017341144
243,0.12977867,0.12806432
244,0.015090543,0.024905616
245,0.049295772,0.062449526
246,0.0,0.0317025
247,0.056338027,0.051753473
248,0.04828974,0.049147084
249,0.098591544,0.10254677
